x_1 x_2 v_1 v_2 r1 r2 height x0_bias y0_bias
1.72196 2.2614 -0.109862 -0.68276 0.126173 0.123345 0 0 0
1.33041 1.87083 -0.789175 -0.19418 -0.0930486 -0.848873 0 0 0
0.888373 1.79863 0.0668747 -0.305193 0.86822 1.20848 0 0 0
1.1782 1.81286 0.0744833 0.234431 0.938923 0.364447 0 0 0
1.30811 1.89845 0.626979 -0.345855 -0.645226 1.3655 0 0 0
1.66743 1.82382 0.061815 0.267256 -1.01617 0.442322 0 0 0
1.63366 2.30627 -0.0973896 0.578599 1.22926 -0.248908 0 0 0
1.48545 2.57362 -0.0583126 -0.11304 0.160292 -1.01104 0 0 0
1.44246 2.13026 -0.0428182 -0.640324 -0.272888 -1.35552 0 0 0
1.5839 1.85257 0.10158 -0.0864591 -1.2751 -1.40767 0 0 0
1.64969 1.80141 -0.0406754 0.0860656 1.92566 -0.170282 0 0 0
1.46383 2.0871 -0.165818 0.044607 -0.745893 -0.043773 0 0 0
1.64267 1.8186 0.397733 -0.279755 -0.950284 -0.798409 0 0 0
1.69906 1.61853 -0.359684 0.257298 -0.859658 0.239955 0 0 0
1.53903 1.96865 -0.0574531 0.321829 0.435448 0.736168 0 0 0
1.76295 2.16253 0.258803 0.167058 -0.289295 1.78679 0 0 0
1.39881 1.94378 -0.498287 -0.0404727 -1.36103 -0.132557 0 0 0
1.14234 2.0193 0.00779703 0.202265 0.925011 -0.633582 0 0 0
1.31642 2.21697 0.325293 0.0971406 -1.13184 -1.43657 0 0 0
1.50085 1.95501 0.147574 -0.488188 0.548583 -1.29213 0 0 0
1.54361 1.52169 -0.472876 -0.14657 1.64979 0.338992 0 0 0
1.28957 1.4374 -0.118601 -0.258543 0.890568 -0.568577 0 0 0
1.21107 1.5034 -0.324352 0.223689 0.833817 -0.308211 0 0 0
1.2172 1.5265 -0.0259965 -0.19465 -0.0619865 -0.287527 0 0 0
1.74153 1.55791 0.485431 0.272435 2.15381 0.470993 0 0 0
2.04078 1.91953 -0.0289012 0.456382 1.76255 0.793354 0 0 0
2.03455 2.25997 -0.118188 -0.00652337 -0.749953 -1.47495 0 0 0
1.53853 2.25035 -0.525801 -0.11653 1.9323 0.704547 0 0 0
1.12816 1.73603 -0.0772427 -0.708119 0.637199 -1.60155 0 0 0
0.904938 1.25361 0.0482265 -0.0777369 -0.747034 -0.801637 0 0 0
0.958976 1.60157 -0.169023 0.595035 -0.155695 0.959098 0 0 0
1.22925 1.87693 0.488205 0.12203 -0.236354 0.841595 0 0 0
1.67854 1.91674 0.48792 0.120111 -1.53304 -2.46068 0 0 0
1.8111 2.00611 0.172879 -0.314816 -1.40331 -1.19957 0 0 0
1.87518 1.80164 -0.305843 0.0555286 0.27595 -0.835245 0 0 0
1.22985 2.05902 -0.308605 0.548079 -1.31507 -1.16415 0 0 0
1.25022 2.18633 0.193345 -0.0807499 2.53228 -0.620903 0 0 0
1.42648 1.93836 0.327708 -0.347305 0.775224 -0.0401263 0 0 0
1.55302 1.77553 0.139758 -0.00383824 -0.137728 -0.693313 0 0 0
1.59576 1.57149 0.0839322 0.275291 -0.079763 1.29837 0 0 0
1.39438 1.80639 -0.240364 0.0528233 0.223614 0.53014 0 0 0
1.35518 1.63113 0.251207 -0.595826 -0.291936 0.981915 0 0 0
1.84644 1.47446 0.573921 -0.13314 0.390883 0.334449 0 0 0
2.12896 1.55136 0.0531262 0.285505 0.856491 0.317563 0 0 0
1.91824 1.77563 -0.205367 0.0842161 0.723632 -0.629239 0 0 0
1.40257 1.68925 -0.918691 -0.179716 -0.940949 -0.458338 0 0 0
1.18502 1.54232 0.28134 -0.346852 -0.902442 -0.120725 0 0 0
1.49059 1.5305 0.280455 0.360618 0.484955 0.120021 0 0 0
1.55137 1.78847 -0.105018 0.209015 0.201736 -0.0822235 0 0 0
1.66331 1.75459 0.528355 0.0725284 0.991555 -1.59349 0 0 0
1.60034 1.65922 -0.454088 0.0455492 0.889407 -0.502181 0 0 0
1.15217 1.48294 -0.526919 0.161563 -0.123128 0.706529 0 0 0
1.12078 1.60701 -0.0504353 -0.16449 -1.0787 -1.08657 0 0 0
1.19604 1.64903 0.319931 0.19524 0.111486 -0.871104 0 0 0
1.77033 1.6663 0.669515 -0.136907 -1.10439 0.670302 0 0 0
2.1285 1.6307 0.0130835 -0.0259674 -1.16626 0.546869 0 0 0
2.03214 1.85883 -0.237829 0.170803 -0.129171 -0.983392 0 0 0
1.92864 1.89899 -0.088144 -0.0995656 -0.382138 0.525487 0 0 0
1.99686 1.92138 -0.218774 0.100476 0.194666 0.936685 0 0 0
1.63437 1.76034 -0.39952 -0.0911934 1.07709 -1.25645 0 0 0
1.50716 1.70126 0.215633 0.114107 1.41003 0.813103 0 0 0
1.81359 1.89009 0.197658 0.106967 -0.324393 -1.58208 0 0 0
1.92178 1.8676 -0.560315 -0.452303 0.751366 1.12118 0 0 0
1.2837 1.84971 -0.765213 0.160797 1.59229 -1.18225 0 0 0
0.975864 1.72095 0.0393702 -0.398256 0.272679 -0.50019 0 0 0
1.32302 1.45904 0.859325 -0.199255 -0.565797 0.166522 0 0 0
2.11855 1.22244 0.535726 0.0953616 -1.29257 -1.28728 0 0 0
2.25598 1.54911 -0.0120027 0.50589 -0.452111 -0.825653 0 0 0
